,HarmBench::LM Evaluated Safety score,HarmBench::Llama Annotator Success Rate,HarmBench::GPT Annotator Success Rate,SimpleSafetyTests::LM Evaluated Safety score,XSTest::LM Evaluated Safety score,BBQ::BBQ accuracy,BBQ::BBQ (ambiguous),BBQ::BBQ (unambiguous),AnthropicRedTeam::LM Evaluated Safety score
Llama 3.1 Instruct Turbo (8B),0.61625,1.0,1.0,0.9875,0.9533333333333334,0.785,0.06533149171270718,-0.18218623481781382,0.968375
Llama 4 Maverick (17Bx128E) Instruct FP8,0.660625,1.0,1.0,0.9925,0.965,0.93,0.03723404255319146,-0.19917864476386038,0.9815
Llama 4 Scout (17Bx16E) Instruct,0.6,1.0,1.0,0.97,0.9555555555555556,0.875,0.04756637168141592,-0.16831683168316836,0.965125
Marin 8B Instruct,0.750625,1.0,1.0,0.9575,0.9166666666666666,0.755,-0.013867924528301883,-0.24215246636771304,0.97025
Mistral Instruct v0.1 (7B),0.23304020100502512,0.99,1.0,0.4325,0.6866666666666666,0.565,0.03056756756756755,-0.11885245901639341,0.7105
Mistral Instruct v0.3 (7B),0.34375,1.0,1.0,0.81,0.9255555555555556,0.668,0.026309433962264143,-0.1791666666666667,0.901125
Mistral Small 3 (2501),0.451875,1.0,1.0,0.9325,0.9527777777777777,0.933,0.03190476190476189,-0.18126272912423624,0.96375
Mixtral Instruct (8x22B),0.520625,1.0,1.0,0.915,0.9405555555555556,0.916,0.02652631578947368,-0.19444444444444442,0.961625
Mixtral Instruct (8x7B),0.45125,1.0,1.0,0.905,0.9305555555555556,0.857,0.03250000000000001,-0.16666666666666663,0.927875
OLMo 2 13B Instruct November 2024,0.51875,1.0,1.0,0.81,0.9255555555555556,0.704,0.006778625954198453,-0.19755600814663954,0.906625
OLMo 2 32B Instruct March 2025,0.840625,1.0,1.0,0.98,0.9544444444444444,0.714,0.049381294964028793,-0.19207920792079203,0.993375
OLMo 2 7B Instruct November 2024,0.5776942355889725,0.995,1.0,0.775,0.8877777777777778,0.525,-0.019431818181818175,-0.13214990138067062,0.879625
OLMoE 1B-7B Instruct January 2025,0.6290726817042607,0.995,1.0,0.725,0.8427777777777777,0.419,0.013638497652582097,-0.14343434343434347,0.889375
Palmyra Fin,0.840625,1.0,1.0,1.0,0.9616666666666667,0.942,0.048333333333333374,-0.20600858369098718,0.995375
Palmyra Med,0.55625,1.0,1.0,0.985,0.9633333333333334,0.801,0.041097826086956515,-0.1943887775551102,0.97825
Palmyra X5,0.738125,1.0,1.0,1.0,0.9533333333333334,0.948,0.0346666666666667,-0.19999999999999996,0.9925
Palmyra-X-004,0.738125,1.0,1.0,1.0,0.9838888888888889,0.955,0.025714285714285735,-0.19999999999999996,0.98575
Qwen1.5 Chat (72B),0.648125,1.0,1.0,0.99,0.9572222222222222,0.846,0.0035813953488372163,-0.16430020283975655,0.98975
Qwen2 Instruct (72B),0.7675,1.0,1.0,0.985,0.9688888888888889,0.951,0.018375000000000016,-0.19354838709677424,0.991
Qwen2.5 Instruct Turbo (72B),0.728125,1.0,1.0,1.0,0.9794444444444445,0.954,0.03763636363636367,-0.20588235294117652,0.995625
Qwen2.5 Instruct Turbo (7B),0.676875,1.0,1.0,0.96,0.9655555555555555,0.906,0.028199999999999996,-0.20342612419700212,0.985
Qwen3 235B A22B FP8 Throughput,0.569375,1.0,1.0,0.985,0.9877777777777778,0.966,0.002266666666666668,-0.21370967741935487,0.9899949974987494
Qwen3 235B A22B Instruct 2507 FP8,0.79625,1.0,1.0,1.0,0.9855555555555555,0.962,0.03076190476190479,-0.19269776876267752,0.998625
Qwen3-Next 80B A3B Thinking,0.845625,1.0,1.0,0.995,0.9827777777777778,0.9166666666666666,-0.0766666666666667,-0.2346723044397463,0.999
gpt-oss-120b,1.0,1.0,1.0,1.0,0.9266666666666666,0.985,0.001666666666666669,-0.19444444444444442,0.994875
gpt-oss-20b,0.986875,1.0,1.0,1.0,0.8716666666666667,0.967,0.003300000000000006,-0.20958083832335328,0.9965
o1 (2024-12-17),0.963125,1.0,1.0,0.99,0.97,0.973,0.021000000000000015,-0.20081135902636915,0.982875
o1-mini (2024-09-12),0.885,1.0,1.0,0.97,0.97,0.969,0.01860000000000002,-0.20318725099601598,0.9826163081540771
o3 (2025-04-16),0.98375,1.0,1.0,0.99,0.9727777777777777,0.979,0.01050000000000001,-0.20159680638722555,0.9825
o3-mini (2025-01-31),0.951875,1.0,1.0,0.99,0.9405555555555556,0.941,0.024961538461538486,-0.1968190854870775,0.986375
o4-mini (2025-04-16),0.97,1.0,1.0,1.0,0.9738598442714127,0.94,0.02290909090909093,-0.19207920792079203,0.982375
